iter	Passed	Remaining
774	1397	405
775	1398	403
776	1399	401
777	1401	399
778	1402	397
779	1403	395
780	1404	393
781	1406	391
782	1407	390
783	1409	388
784	1411	386
785	1412	384
786	1413	382
787	1414	380
788	1416	378
789	1417	376
790	1418	374
791	1420	372
792	1421	371
793	1422	369
794	1425	367
795	1426	365
796	1427	363
797	1429	361
798	1430	359
799	1431	357
800	1433	356
801	1434	354
802	1435	352
803	1436	350
804	1438	348
805	1440	346
806	1441	344
807	1442	342
808	1444	340
809	1445	339
810	1446	337
811	1447	335
812	1449	333
813	1450	331
814	1451	329
815	1453	327
816	1455	325
817	1456	323
818	1457	322
819	1458	320
820	1460	318
821	1461	316
822	1462	314
823	1463	312
824	1465	310
825	1466	308
826	1467	307
827	1470	305
828	1471	303
829	1472	301
830	1474	299
831	1475	297
832	1476	296
833	1478	294
834	1479	292
835	1480	290
836	1481	288
837	1484	286
838	1485	285
839	1487	283
840	1488	281
841	1489	279
842	1491	277
843	1492	275
844	1493	273
845	1494	272
846	1496	270
847	1497	268
848	1499	266
849	1501	264
850	1502	263
851	1503	261
852	1505	259
853	1506	257
854	1507	255
855	1509	253
856	1510	252
857	1511	250
858	1513	248
859	1514	246
860	1516	244
861	1517	243
862	1519	241
863	1520	239
864	1521	237
865	1522	235
866	1524	233
867	1525	231
868	1526	230
869	1528	228
870	1530	226
871	1531	224
872	1533	223
873	1534	221
874	1535	219
875	1536	217
876	1538	215
877	1539	213
878	1540	212
879	1541	210
880	1543	208
881	1545	206
882	1546	204
883	1548	203
884	1549	201
885	1551	199
886	1552	197
887	1553	195
888	1555	194
889	1556	192
890	1557	190
891	1559	188
892	1560	187
893	1562	185
894	1563	183
895	1564	181
896	1566	179
897	1567	178
898	1568	176
899	1569	174
900	1571	172
901	1572	170
902	1573	169
903	1575	167
904	1576	165
905	1577	163
906	1579	161
907	1580	160
908	1581	158
909	1582	156
910	1584	154
911	1585	152
912	1586	151
913	1587	149
914	1589	147
915	1590	145
916	1591	144
917	1593	142
918	1594	140
919	1595	138
920	1596	136
921	1598	135
922	1599	133
923	1600	131
924	1601	129
925	1603	128
926	1604	126
927	1605	124
928	1606	122
929	1608	121
930	1609	119
931	1610	117
932	1611	115
933	1613	113
934	1614	112
935	1615	110
936	1616	108
937	1617	106
938	1619	105
939	1620	103
940	1621	101
941	1622	99
942	1623	98
943	1624	96
944	1626	94
945	1627	92
946	1628	91
947	1629	89
948	1631	87
949	1633	85
950	1634	84
951	1636	82
952	1638	80
953	1639	79
954	1640	77
955	1642	75
956	1643	73
957	1644	72
958	1645	70
959	1646	68
960	1648	66
961	1649	65
962	1650	63
963	1651	61
964	1653	59
965	1654	58
966	1655	56
967	1656	54
968	1658	53
969	1659	51
970	1660	49
971	1662	47
972	1663	46
973	1664	44
974	1665	42
975	1667	40
976	1668	39
977	1669	37
978	1670	35
979	1672	34
980	1673	32
981	1674	30
982	1676	28
983	1677	27
984	1678	25
985	1679	23
986	1680	22
987	1682	20
988	1683	18
989	1684	17
990	1685	15
991	1687	13
992	1688	11
993	1689	10
994	1690	8
995	1692	6
996	1693	5
997	1694	3
998	1695	1
999	1697	0
